Facility ID,Uptime (%),Avoided Emissions (tons CO2),Induced Emissions (tons CO2),Maximum Energy (MWh),DR Active,DR Relative (%),LME Variability (tons CO2/MWh),Curtailment Regularity (hours),Curtailment Magnitude (%),Energy Savings (tons CO2),Emission Efficiency,Net Emissions,Emissions Ratio,Normalized Avoided Emissions (tons CO2/MWh),Targeting Efficiency Score (TES),Load Factor,Threshold
18,70.69746376811594,1870.484720462468,5172.0310820848645,5.908022,647,29.30253623188406,0.24813576006585722,0.42274216432714634,99.8312958468695,2180.881322758129,0.8576737766257235,-3301.5463616223965,0.36165380500932115,316.60083873459985,0.8846188645714852,0.6925405105911535,0.85
12,83.8255338482508,480.28853133990856,11245.303553390608,12.19799515,356,16.174466151749208,0.11498535021235073,5.1062186976034525,79.00526897514966,934.1446802122683,0.514147906115326,-10765.015022050698,0.04271014375553208,39.374382874706136,0.6677434796610224,0.8882628607645886,0.85
17,95.68769859282796,219.52591553191462,77176.74312369202,67.48387995,95,4.312301407172038,0.17568831330457355,6.642931914707575,22.136085036223506,377.79220779761476,0.5810758162844792,-76957.2172081601,0.00284445684861407,3.2530126556825905,0.3733873514505943,0.9159036163335206,0.95
14,67.49773345421578,2623.3397161666653,15517.298227332249,21.8925,717,32.502266545784224,0.11687137117426138,4.4435423969543235,99.2826532746386,6000.595729008892,0.4371798792384165,-12893.958511165583,0.1690590512429478,119.82823871950053,0.7265868287554402,0.7144386705374725,0.85
5,81.34057971014492,2477.4903334582737,17118.0071188341,15.867660916693,412,18.65942028985507,0.19239502232560182,3.8462809081621567,100.0,3595.535729464098,0.6890462283982184,-14640.516785375825,0.14473006794888016,156.13456491573496,0.7298726384408192,0.8771991646788412,0.95
21,84.96376811594203,2583.323113477294,35304.121761503346,33.40488302,332,15.03623188405797,0.17483480008519817,4.547072809776593,97.40100243766018,3648.641483534687,0.7080232807567197,-32720.79864802605,0.0731734138843308,77.33369734989404,0.7532417311078334,0.8492877498151473,0.9
2,94.77984566500227,253.17744609210192,116058.07029370179,101.4551791,115,5.220154334997731,0.17313042711848997,6.222991530025285,9.942355250322343,378.79329819567386,0.6683788950281735,-115804.89284760969,0.002181472132454035,2.4954610335126985,0.38519247702070925,0.9325889755957392,0.95
3,97.14026327734906,62.76212398131834,30739.013381237666,27.40118278,63,2.8597367226509305,0.17313042711848997,6.266203485560373,17.212623476586963,79.47626617741696,0.7896964339166714,-30676.251257256346,0.0020417741845815645,2.2904895925561335,0.3819744044009749,0.9154949900086657,0.9
9,93.37267362687246,30.715668364802294,7042.686218900453,7.241643364,146,6.627326373127554,0.1411572584098321,8.98184109121037,10.580902104555733,49.105334431849215,0.6255057361931015,-7011.970550535651,0.004361356932582155,4.241532870494214,0.31170817883294555,0.8877388923807367,0.9
20,67.25543478260869,4093.3529379806823,29489.90340219,45.58,723,32.744565217391305,0.1149040717754371,5.439292233370073,98.7285383717749,9180.71668344542,0.4458642041924436,-25396.55046420932,0.13880523385087448,89.80590035060735,0.6986163992636728,0.6174704373899054,0.85
4,97.14026327734906,11.385169362028165,3107.3596689423985,3.345075617,63,2.8597367226509305,0.17313042711848997,6.740734381356382,29.465056153971815,15.022228871282682,0.7578881575817741,-3095.9744995803703,0.0036639367743043247,3.4035611345129615,0.4230550976591591,0.7574434717913643,0.8
15,73.05253623188406,1239.0528147347602,10471.000170993555,12.89881567,595,26.94746376811594,0.12315691346593981,4.58645533744288,99.1813739993233,2735.1506320067547,0.4530108141889351,-9231.947356258795,0.1183318493458864,96.0594248677065,0.6927401633748809,0.7811003689184371,0.85
8,96.05083976395824,88.95700660947094,31496.847881177753,31.3334561,87,3.9491602360417613,0.1411572584098321,3.888759311090343,12.961769207309937,109.53547312911797,0.8121296605402928,-31407.890874568282,0.002824314577289205,2.8390422788206546,0.30313009433231264,0.9195557561561888,0.9
19,95.30516431924883,72.88533536869056,20374.7952684036,19.3818,100,4.694835680751173,0.2306693713527409,5.373182832362956,16.076485881003578,103.22485369627131,0.7060832034032064,-20301.90993303491,0.003577230318565123,3.760503945386423,0.23949187135421604,0.9525978633359975,0.9
7,70.72174307762143,7885.992806241535,43654.1910181265,47.63242089,645,29.278256922378574,0.23076180902246987,6.236181167634208,99.58316605502519,12156.23585619498,0.6487199573561028,-35768.19821188496,0.18064686625316317,165.5593534591295,0.6511484061544945,0.6647691758739197,0.85
16,94.18974126191557,122.05176252121807,38452.507238396414,32.5511119,128,5.81025873808443,0.17568831330457355,7.123803915789922,16.502423803444355,215.4600748264547,0.5664704359706844,-38330.4554758752,0.0031740911396109,3.7495420401051818,0.3814985856129837,0.9448719273843917,0.95
10,97.54879709487064,262.16780829767436,110471.3642192306,128.0277514,54,2.451202905129369,0.1411572584098321,7.71182353417285,24.650551316152157,526.5100566830956,0.497935044107756,-110209.19641093293,0.0023731743529246357,2.047742035854223,0.2347646899570348,0.7905677055387413,0.9
1,95.05494505494505,1098.8535206281126,29728.969968455596,28.46436667,108,4.945054945054945,0.2303519829441386,3.182793979319569,99.19112000456852,1413.4936610550856,0.7774025104632493,-28630.116447827484,0.03696238119901459,38.60453082858325,0.6248970358192351,0.9340958692346958,0.9
6,42.7536231884058,5424.783512192365,18765.67408777347,33.6135,1264,57.2463768115942,0.12315691346593981,3.788425859805066,94.87540508323261,10784.928195302426,0.502996720419078,-13340.890575581105,0.2890801303922683,161.3870472337711,0.7766251522522906,0.5410052688375978,0.75
13,83.74943259192011,3564.660288600975,59357.321479127306,81.46099198,358,16.250567408079892,0.10320018312268989,3.7120630065646627,98.955616195305,8895.522458164865,0.4007252306275847,-55792.66119052633,0.060054264575507665,43.75910729734493,0.600033666575458,0.8360633087195497,0.85
11,68.54289605083976,24433.33597444249,123310.33337079905,127.9040628,693,31.457103949160235,0.23092958623020254,4.204118292951528,98.56996991541193,35414.16223012561,0.6899312149662513,-98876.99739635657,0.19814508084225577,191.02861503819634,0.7222091821294883,0.7434351728767041,0.9
